"Status","Address","List Price","Original List Price","Sales Price","Days On Market"
"CLOSD","9107 Widthby RD","$499,900","$539,970","$489,900","159"
"CLOSD","9219 Saxsawn LN","$608,990","$689,990","$608,990","194"
"CLOSD","8712 Fishers Green PL","$474,800","$474,900","$460,000","34"
"CLOSD","9113 Moldova RD","$675,920","$675,920","$675,920","11"
"CLOSD","6804 Welara RUN Unit#601-6","$462,433","$487,133","$462,433","46"
"CLOSD","9219 Moldova RD","$639,430","$699,990","$639,430","50"
"CLOSD","16613 Cabrio PL","$546,614","$546,614","$547,784","21"
"CLOSD","16007 Cambian LN","$749,990","$769,990","$740,000","111"
"CLOSD","15112 Enmore DR","$603,400","$517,400","$849,911","474"
"CLOSD","3721 Litton PL","$799,000","$799,000","$850,000","4"
"CLOSD","9148 WIDTHBY RD","$399,990","$399,990","$432,860","71"
"CLOSD","12912 Broad Iron CT","$519,950","$519,950","$538,095","0"
"CLOSD","17061 Thornapple CT","$409,000","$409,000","$400,000","41"
"CLOSD","12931 Carters Garden DR","$539,950","$579,950","$515,000","77"
"CLOSD","6812 Dunton RD","$455,000","$455,000","$445,000","6"
"CLOSD","3507 Alvecote TER","$820,107","$820,107","$923,609","7"
"CLOSD","6980 Leire LN","$377,950","$377,950","$419,649","0"
"CLOSD","9130 Verneham CT","$636,950","$636,950","$761,220","0"
"CLOSD","6964 Leire LN","$432,950","$428,160","$411,660","71"
"CLOSD","13042 Fieldfare DR","$477,950","$477,950","$547,488","0"
"CLOSD","6961 Leire LN","$427,950","$407,950","$407,675","19"
"CLOSD","9148 Verneham CT","$636,950","$636,950","$776,191","0"
"CLOSD","16018 Deltic LN","$746,930","$765,180","$746,000","237"
"CLOSD","9107 Moldova RD","$668,530","$718,530","$675,800","68"
"CLOSD","10012 Craftsbury DR","$511,950","$511,950","$606,332","0"
"CLOSD","17325 Otter DR","$924,000","$924,000","$895,000","223"
"CLOSD","9124 Verneham CT","$641,950","$641,950","$725,861","0"
"CLOSD","16000 Cambian Lane","$699,990","$729,990","$689,990","68"
"CLOSD","17731 Twin Falls LN","$539,000","$539,000","$545,000","6"
"CLOSD","12900 Broad Iron CT","$505,950","$505,950","$585,481","0"
"CLOSD","12918 Broad Iron CT","$540,950","$540,950","$588,955","0"
"CLOSD","18067 Veronica CT","$544,450","$544,450","$592,875","0"
"CLOSD","6937 Dunton RD","$411,100","$411,100","$411,520","48"
"CLOSD","6712 Ruby Hill RD","$810,725","$810,725","$1,217,484","2"
"CLOSD","13137 Beech Hill DR","$540,000","$540,000","$540,000","6"
"CLOSD","6840 Welara RUN Unit#606-6","$499,398","$509,398","$499,398","83"
"CLOSD","9212 Miranda LN","$465,000","$475,000","$465,000","20"
"CLOSD","6941 Dunton RD","$370,950","$370,950","$411,539","0"
"CLOSD","18073 Veronica CT","$636,000","$543,725","$636,265","0"
"CLOSD","9307 Bailey Oak DR","$519,950","$529,950","$505,000","123"
"CLOSD","6701 Ruby Hill RD","$975,000","$975,000","$960,000","264"
"CLOSD","17620 Marymere CT","$409,000","$465,000","$414,000","51"
"CLOSD","16006 Deltic LN","$732,540","$842,540","$732,540","91"
"CLOSD","16012 Deltic LN","$699,950","$749,640","$699,950","61"
"CLOSD","9224 Saxsawn LN","$679,990","$724,990","$670,000","61"
"CLOSD","18061 Veronica CT","$674,865","$607,275","$670,865","0"
"CLOSD","6010 Watch Harbour RD","$479,500","$509,000","$415,000","226"
"CLOSD","9101 Haynes Bridge RD","$598,880","$598,880","$594,880","25"
"CLOSD","6267 SHEEHAN XING","$548,990","$572,860","$551,605","77"
"CLOSD","16900 Thornapple RUN","$417,990","$417,990","$410,000","111"
"CLOSD","9112 Moldova RD","$675,990","$787,340","$675,900","70"
"CLOSD","9106 Moldova RD","$734,990","$783,090","$734,990","75"
"CLOSD","7005 Dunton RD","$372,950","$372,950","$417,170","0"
"CLOSD","17006 Shoreland DR","$990,000","$927,947","$990,000","25"
"CLOSD","9112 Saxsawn LN","$685,000","$699,990","$675,000","191"
"CLOSD","4630 Lake Summer LOOP","$889,900","$779,900","$920,184","29"
"CLOSD","15101 Bellstone CT","$695,337","$695,337","$822,684","0"
"CLOSD","9100 Moldova RD","$789,130","$789,130","$789,130","0"
"CLOSD","5726 Gossamer PL","$467,950","$467,950","$462,750","15"
"CLOSD","18300 Palisades CT","$419,950","$419,950","$419,950","12"
"CLOSD","18106 Veronica CT","$544,495","$516,375","$544,495","0"
"CLOSD","7009 Dunton RD","$371,950","$371,950","$431,520","0"
"CLOSD","7013 Dunton RD","$354,950","$354,950","$411,379","0"
"CLOSD","16918 Thornapple RUN","$419,730","$419,990","$419,730","94"
"CLOSD","18079 Veronica CT","$600,315","$504,950","$596,315","3"
"CLOSD","15649 Henningford RD","$549,950","$549,950","$535,000","13"
"CLOSD","24201 Pear Orchard RD","$699,950","$699,950","$701,950","0"
"CLOSD","9919 Maidstone CT","$526,950","$526,950","$614,545","0"
"CLOSD","6832 Welara RUN Unit#608-6","$419,112","$429,112","$419,112","70"
"CLOSD","6860 Dunton RD","$546,950","$566,086","$535,000","86"
"CLOSD","6213 SHEEHAN XING","$629,270","$635,980","$635,980","42"
"CLOSD","16312 Cambian LN","$679,990","$799,990","$674,990","205"
"CLOSD","6261 SHEEHAN XING","$628,990","$640,175","$639,175","60"
"CLOSD","9324 Pentwyn PL","$499,950","$516,950","$480,408","115"
"CLOSD","6624 Stonewolf CT","$885,000","$885,000","$885,000","83"
"CLOSD","8937 Lavenham LOOP","$435,000","$435,000","$453,500","4"
"CLOSD","6618 Stonewolf CT","$880,000","$880,000","$850,000","64"
"CLOSD","6824 Welara RUN Unit#610-6","$448,756","$458,756","$448,756","54"
"CLOSD","13500 Beachcrest TER","$599,990","$599,990","$599,990","61"
"CLOSD","8400 Pullman LN","$749,900","$759,900","$730,000","162"
"CLOSD","16306 Cambian LN","$611,950","$611,950","$772,921","0"
"CLOSD","7013 Leire DR","$441,950","$432,950","$485,414","78"
"CLOSD","15943 Fishers Green DR","$554,950","$577,037","$554,450","76"
"CLOSD","18091 Veronica CT","$658,880","$503,450","$658,880","20"
"CLOSD","18213 Jones Run TRL","$480,000","$480,000","$460,000","59"
"CLOSD","15825 Fishers Green DR","$479,950","$475,950","$494,782","27"
"CLOSD","4506 Summer Camp CT","$819,000","$819,000","$807,500","31"
"CLOSD","6973 Leire LN","$435,780","$433,780","$437,100","36"
"CLOSD","18085 Veronica CT","$608,765","$569,450","$608,765","0"
"CLOSD","9106 Saxsawn LN","$682,990","$734,990","$668,990","135"
"CLOSD","15201 Stone Church DR","$445,000","$455,000","$445,000","45"
"CLOSD","6953 Leire LN","$390,950","$390,950","$436,802","3"
"CLOSD","3601 Waverton DR","$824,990","$849,990","$815,000","58"
