"Status","Address","List Price","Original List Price","Sales Price","Days On Market","Sales Date","New/Resale"
"CLOSD","7454 Lake Terrell DR","$297,000","$297,000","$330,000","4","07/30/2021","Resale (occupied at least once)"
"CLOSD","1700 First Colonial CT","$327,000","$342,000","$326,000","11","12/09/2021","Resale (occupied at least once)"
"CLOSD","4822 Sapphire DR","$299,999","$299,999","$325,168","2","05/30/2023","Resale (occupied at least once)"
"CLOSD","2812 Lammrich RD","$300,000","$300,000","$325,000","4","08/19/2021","Resale (occupied at least once)"
"CLOSD","4721 Fulton ST","$304,500","$304,500","$320,000","3","03/21/2022","Resale (occupied at least once)"
"CLOSD","140 Arkwright RD","$285,000","$285,000","$319,000","1","07/30/2021","Resale (occupied at least once)"
"CLOSD","154 Jack Pen LN","$295,000","$295,000","$318,000","4","04/21/2022","Resale (occupied at least once)"
"CLOSD","1710 Shewalt DR","$305,001","$305,000","$315,000","9","07/01/2022","Resale (occupied at least once)"
"CLOSD","3504 Cedar Commons RD","$295,000","$295,000","$315,000","6","12/21/2021","Resale (occupied at least once)"
"CLOSD","13641 Baycraft TER","$265,000","$265,000","$315,000","4","04/12/2022","Resale (occupied at least once)"
"CLOSD","5917 Dalebrook DR","$315,000","$325,000","$315,000","34","01/13/2023","Resale (occupied at least once)"
"CLOSD","3990 Creighton RD","$310,000","$310,000","$310,000","19","04/07/2023","Resale (occupied at least once)"
"CLOSD","8240 Military RD","$289,500","$289,500","$310,000","2","06/08/2023","Resale (occupied at least once)"
"CLOSD","216 Casey ST","$289,900","$289,900","$310,000","5","10/20/2021","Resale (occupied at least once)"
"CLOSD","7413 Willow Crossing TER","$320,000","$320,000","$310,000","3","05/02/2023","Resale (occupied at least once)"
"CLOSD","10609 Northcliff PL","$291,000","$291,000","$305,000","6","09/22/2021","Resale (occupied at least once)"
"CLOSD","9018 Brucewood DR","$279,000","$279,000","$300,000","5","09/28/2021","Resale (occupied at least once)"
"CLOSD","3123 2nd AVE","$299,000","$299,000","$299,000","24","01/20/2023","Resale (occupied at least once)"
"CLOSD","2510 Boston ST","$289,000","$289,000","$295,000","24","02/16/2023","Resale (occupied at least once)"
"CLOSD","4736 Erin Crescent ST","$285,000","$285,000","$295,000","4","12/17/2021","Resale (occupied at least once)"
"CLOSD","12632 Prestonfield DR","$280,000","$280,000","$295,000","9","03/25/2022","Resale (occupied at least once)"
"CLOSD","3014 3rd AVE","$287,500","$287,500","$290,500","17","08/30/2022","Resale (occupied at least once)"
"CLOSD","2812 Mistwood Forest","$264,499","$264,499","$290,000","11","03/01/2022","Resale (occupied at least once)"
"CLOSD","3515 Florida AVE","$290,000","$290,000","$290,000","8","08/25/2021","Resale (occupied at least once)"
"CLOSD","3527 Gilbert ST","$285,900","$285,000","$285,900","24","01/06/2022","Resale (occupied at least once)"
"CLOSD","150 Township BLVD","$270,000","$270,000","$285,500","4","10/12/2022","Resale (occupied at least once)"
"CLOSD","100 Goodward RD","$285,000","$285,000","$285,000","6","10/18/2021","Resale (occupied at least once)"
"CLOSD","7211 Omalley DR","$281,000","$289,500","$285,000","13","11/19/2021","Resale (occupied at least once)"
"CLOSD","9300 Croft Crossing CT","$270,000","$270,000","$285,000","6","10/07/2021","Resale (occupied at least once)"
