"Status","Address","List Price","Original List Price","Sales Price","Days On Market","Sales Date"
"CLOSD","16613 Cabrio PL","$546,614","$546,614","$547,784","21","03/28/2023"
"CLOSD","16007 Cambian LN","$749,990","$769,990","$740,000","111","03/28/2023"
"CLOSD","15112 Enmore DR","$603,400","$517,400","$849,911","474","03/27/2023"
"CLOSD","3721 Litton PL","$799,000","$799,000","$850,000","4","03/27/2023"
"CLOSD","9148 WIDTHBY RD","$399,990","$399,990","$432,860","71","03/24/2023"
"CLOSD","12912 Broad Iron CT","$519,950","$519,950","$538,095","0","03/24/2023"
"CLOSD","17061 Thornapple CT","$409,000","$409,000","$400,000","41","03/24/2023"
"CLOSD","12931 Carters Garden DR","$539,950","$579,950","$515,000","77","03/23/2023"
"CLOSD","6812 Dunton RD","$455,000","$455,000","$445,000","6","03/23/2023"
"CLOSD","3507 Alvecote TER","$820,107","$820,107","$923,609","7","03/23/2023"
"CLOSD","6980 Leire LN","$377,950","$377,950","$419,649","0","03/22/2023"
"CLOSD","9130 Verneham CT","$636,950","$636,950","$761,220","0","03/22/2023"
"CLOSD","6964 Leire LN","$432,950","$428,160","$411,660","71","03/20/2023"
"CLOSD","13042 Fieldfare DR","$477,950","$477,950","$547,488","0","03/16/2023"
"CLOSD","6961 Leire LN","$427,950","$407,950","$407,675","19","03/15/2023"
"CLOSD","9148 Verneham CT","$636,950","$636,950","$776,191","0","03/14/2023"
"CLOSD","16018 Deltic LN","$746,930","$765,180","$746,000","237","03/10/2023"
"CLOSD","9107 Moldova RD","$668,530","$718,530","$675,800","68","03/08/2023"
"CLOSD","10012 Craftsbury DR","$511,950","$511,950","$606,332","0","03/07/2023"
"CLOSD","17325 Otter DR","$924,000","$924,000","$895,000","223","03/06/2023"
"CLOSD","9124 Verneham CT","$641,950","$641,950","$725,861","0","03/06/2023"
"CLOSD","16000 Cambian Lane","$699,990","$729,990","$689,990","68","03/06/2023"
"CLOSD","17731 Twin Falls LN","$539,000","$539,000","$545,000","6","03/03/2023"
"CLOSD","12900 Broad Iron CT","$505,950","$505,950","$585,481","0","03/03/2023"
"CLOSD","12918 Broad Iron CT","$540,950","$540,950","$588,955","0","03/02/2023"
"CLOSD","18067 Veronica CT","$544,450","$544,450","$592,875","0","03/02/2023"
"CLOSD","6937 Dunton RD","$411,100","$411,100","$411,520","48","03/02/2023"
"CLOSD","6712 Ruby Hill RD","$810,725","$810,725","$1,217,484","2","03/02/2023"
"CLOSD","13137 Beech Hill DR","$540,000","$540,000","$540,000","6","03/01/2023"
"CLOSD","6840 Welara RUN Unit#606-6","$499,398","$509,398","$499,398","83","03/01/2023"
"CLOSD","9212 Miranda LN","$465,000","$475,000","$465,000","20","03/01/2023"
"CLOSD","6941 Dunton RD","$370,950","$370,950","$411,539","0","03/01/2023"
"CLOSD","18073 Veronica CT","$636,000","$543,725","$636,265","0","02/28/2023"
"CLOSD","9307 Bailey Oak DR","$519,950","$529,950","$505,000","123","02/28/2023"
"CLOSD","6701 Ruby Hill RD","$975,000","$975,000","$960,000","264","02/28/2023"
"CLOSD","17620 Marymere CT","$409,000","$465,000","$414,000","51","02/28/2023"
"CLOSD","16006 Deltic LN","$732,540","$842,540","$732,540","91","02/28/2023"
"CLOSD","16012 Deltic LN","$699,950","$749,640","$699,950","61","02/28/2023"
"CLOSD","9224 Saxsawn LN","$679,990","$724,990","$670,000","61","02/27/2023"
"CLOSD","18061 Veronica CT","$674,865","$607,275","$670,865","0","02/27/2023"
"CLOSD","6010 Watch Harbour RD","$479,500","$509,000","$415,000","226","02/25/2023"
"CLOSD","9101 Haynes Bridge RD","$598,880","$598,880","$594,880","25","02/24/2023"
"CLOSD","6267 SHEEHAN XING","$548,990","$572,860","$551,605","77","02/24/2023"
"CLOSD","16900 Thornapple RUN","$417,990","$417,990","$410,000","111","02/24/2023"
"CLOSD","9112 Moldova RD","$675,990","$787,340","$675,900","70","02/24/2023"
"CLOSD","9106 Moldova RD","$734,990","$783,090","$734,990","75","02/24/2023"
"CLOSD","7005 Dunton RD","$372,950","$372,950","$417,170","0","02/24/2023"
"CLOSD","17006 Shoreland DR","$990,000","$927,947","$990,000","25","02/24/2023"
"CLOSD","9112 Saxsawn LN","$685,000","$699,990","$675,000","191","02/24/2023"
"CLOSD","4630 Lake Summer LOOP","$889,900","$779,900","$920,184","29","02/24/2023"
"CLOSD","15101 Bellstone CT","$695,337","$695,337","$822,684","0","02/24/2023"
"CLOSD","9100 Moldova RD","$789,130","$789,130","$789,130","0","02/24/2023"
"CLOSD","5726 Gossamer PL","$467,950","$467,950","$462,750","15","02/23/2023"
"CLOSD","18300 Palisades CT","$419,950","$419,950","$419,950","12","02/23/2023"
"CLOSD","18106 Veronica CT","$544,495","$516,375","$544,495","0","02/22/2023"
"CLOSD","7009 Dunton RD","$371,950","$371,950","$431,520","0","02/22/2023"
"CLOSD","7013 Dunton RD","$354,950","$354,950","$411,379","0","02/21/2023"
"CLOSD","16918 Thornapple RUN","$419,730","$419,990","$419,730","94","02/17/2023"
"CLOSD","18079 Veronica CT","$600,315","$504,950","$596,315","3","02/17/2023"
"CLOSD","15649 Henningford RD","$549,950","$549,950","$535,000","13","02/17/2023"
"CLOSD","24201 Pear Orchard RD","$699,950","$699,950","$701,950","0","02/17/2023"
"CLOSD","9919 Maidstone CT","$526,950","$526,950","$614,545","0","02/16/2023"
"CLOSD","6832 Welara RUN Unit#608-6","$419,112","$429,112","$419,112","70","02/16/2023"
"CLOSD","6860 Dunton RD","$546,950","$566,086","$535,000","86","02/16/2023"
"CLOSD","6213 SHEEHAN XING","$629,270","$635,980","$635,980","42","02/16/2023"
"CLOSD","16312 Cambian LN","$679,990","$799,990","$674,990","205","02/16/2023"
"CLOSD","6261 SHEEHAN XING","$628,990","$640,175","$639,175","60","02/15/2023"
"CLOSD","9324 Pentwyn PL","$499,950","$516,950","$480,408","115","02/15/2023"
"CLOSD","6624 Stonewolf CT","$885,000","$885,000","$885,000","83","02/15/2023"
"CLOSD","8937 Lavenham LOOP","$435,000","$435,000","$453,500","4","02/14/2023"
"CLOSD","6618 Stonewolf CT","$880,000","$880,000","$850,000","64","02/14/2023"
"CLOSD","6824 Welara RUN Unit#610-6","$448,756","$458,756","$448,756","54","02/10/2023"
"CLOSD","13500 Beachcrest TER","$599,990","$599,990","$599,990","61","02/10/2023"
"CLOSD","8400 Pullman LN","$749,900","$759,900","$730,000","162","02/10/2023"
"CLOSD","16306 Cambian LN","$611,950","$611,950","$772,921","0","02/10/2023"
"CLOSD","7013 Leire DR","$441,950","$432,950","$485,414","78","02/09/2023"
"CLOSD","15943 Fishers Green DR","$554,950","$577,037","$554,450","76","02/09/2023"
"CLOSD","18091 Veronica CT","$658,880","$503,450","$658,880","20","02/08/2023"
"CLOSD","18213 Jones Run TRL","$480,000","$480,000","$460,000","59","02/07/2023"
"CLOSD","15825 Fishers Green DR","$479,950","$475,950","$494,782","27","02/07/2023"
"CLOSD","4506 Summer Camp CT","$819,000","$819,000","$807,500","31","02/07/2023"
"CLOSD","6973 Leire LN","$435,780","$433,780","$437,100","36","02/06/2023"
"CLOSD","18085 Veronica CT","$608,765","$569,450","$608,765","0","02/06/2023"
"CLOSD","9106 Saxsawn LN","$682,990","$734,990","$668,990","135","02/06/2023"
"CLOSD","15201 Stone Church DR","$445,000","$455,000","$445,000","45","02/03/2023"
"CLOSD","6953 Leire LN","$390,950","$390,950","$436,802","3","02/03/2023"
"CLOSD","3601 Waverton DR","$824,990","$849,990","$815,000","58","02/02/2023"
"CLOSD","6957 Leire LN","$390,950","$384,950","$418,146","44","02/01/2023"
"CLOSD","18100 Veronica CT","$565,555","$540,950","$565,555","0","01/30/2023"
"CLOSD","6824 Cherry Creek LN","$744,885","$744,885","$875,395","0","01/30/2023"
"CLOSD","9121 Cambian MEWS","$619,950","$619,950","$656,295","0","01/26/2023"
"CLOSD","5918 Trail Ride DR","$549,500","$549,500","$549,500","5","01/26/2023"
"CLOSD","17906 Pine Canyon TRL","$799,900","$849,900","$800,000","76","01/20/2023"
"CLOSD","9300 Pentwyn PL","$489,950","$489,950","$480,000","0","01/19/2023"
"CLOSD","8997 Glen Royal Dr","$699,950","$699,950","$691,000","138","01/18/2023"
"CLOSD","6877 Leire LN","$468,249","$468,249","$450,000","36","01/13/2023"
"CLOSD","3718 Bellstone DR","$740,517","$740,517","$794,065","0","01/13/2023"
"CLOSD","17719 Silver Farm DR","$675,000","$675,000","$670,000","9","01/13/2023"
"CLOSD","4672 Lake Summer LOOP","$925,000","$925,000","$910,000","26","01/13/2023"
"CLOSD","6965 Leire LN","$383,950","$377,950","$434,842","43","01/12/2023"
"CLOSD","6819 Cherry Creek LN","$724,997","$694,997","$965,000","330","01/12/2023"
"CLOSD","5524 Singing Bird DR","$665,057","$665,057","$675,280","27","01/11/2023"
"CLOSD","5455 Trail Ride CT","$499,461","$499,461","$500,000","40","01/06/2023"
"CLOSD","16201 Cambian LN","$613,950","$613,950","$820,936","0","01/05/2023"
"CLOSD","18207 Jones Run TRL","$388,500","$388,500","$495,000","7","01/03/2023"
"CLOSD","16036 ROCKY FALLS CT","$494,990","$494,990","$508,170","7","12/30/2022"
"CLOSD","9112 Copplestone RD","$622,950","$622,950","$754,051","0","12/30/2022"
"CLOSD","18213 Veronica CT","$575,780","$530,560","$575,780","0","12/29/2022"
"CLOSD","6506 Hammock Creek DR","$671,440","$451,450","$671,440","34","12/28/2022"
"CLOSD","9131 Saxsawn LN","$588,950","$588,950","$635,691","0","12/28/2022"
"CLOSD","9924 Maidstone CT","$498,950","$498,950","$552,765","0","12/27/2022"
"CLOSD","6218 DEER SUMMIT CT","$677,675","$677,675","$677,675","0","12/27/2022"
"CLOSD","9231 Saxsawn LN","$691,299","$691,299","$685,000","22","12/27/2022"
"CLOSD","6807 Ruby Hill RD","$949,900","$949,900","$971,965","7","12/23/2022"
"CLOSD","9706 Craftsbury DR","$453,950","$453,950","$530,251","0","12/22/2022"
"CLOSD","13913 Collington MEWS","$425,000","$439,950","$425,000","13","12/22/2022"
"CLOSD","16307 Cambian LN","$569,950","$569,950","$624,514","0","12/22/2022"
"CLOSD","15701 Henningford RD","$455,950","$455,950","$506,843","0","12/22/2022"
"CLOSD","6956 Leire LN","$358,950","$352,950","$410,067","96","12/22/2022"
"CLOSD","18207 Veronica CT","$591,585","$499,450","$629,685","27","12/22/2022"
"CLOSD","18201 Veronica CT","$546,060","$505,050","$546,060","0","12/21/2022"
"CLOSD","6206 DEER SUMMIT CT","$731,760","$731,760","$731,760","0","12/21/2022"
"CLOSD","18019 Timber Banks LN","$999,000","$999,000","$963,598","28","12/21/2022"
"CLOSD","16313 Cambian LN","$577,950","$577,950","$848,625","0","12/21/2022"
"CLOSD","16018 Rocky Falls CT","$555,232","$555,232","$647,469","21","12/20/2022"
"CLOSD","9155 WIDTHBY RD","$439,990","$439,990","$531,630","21","12/20/2022"
"CLOSD","13006 Fieldfare DR","$476,950","$476,950","$519,011","0","12/20/2022"
"CLOSD","5119 Cabretta DR","$509,950","$526,950","$509,950","54","12/20/2022"
"CLOSD","10525 Beachcrest CT","$649,990","$649,990","$650,000","14","12/20/2022"
"CLOSD","17513 SHEEHAN PL","$510,725","$510,725","$510,725","0","12/19/2022"
"CLOSD","6960 Leire LN","$416,930","$416,930","$417,920","69","12/19/2022"
"CLOSD","6242 DEER SUMMIT CT","$592,565","$592,565","$592,880","0","12/16/2022"
"CLOSD","9137 WIDTHBY RD","$495,990","$495,990","$553,445","10","12/14/2022"
"CLOSD","16842 Laurel Park DR","$479,950","$491,950","$479,950","57","12/14/2022"
"CLOSD","9201 Saxsawn LN","$849,990","$849,990","$849,990","0","12/13/2022"
"CLOSD","6830 Cherry Creek LN","$841,655","$841,655","$780,575","97","12/12/2022"
"CLOSD","15818 Fishers Green DR","$446,950","$446,950","$477,730","0","12/09/2022"
"CLOSD","3560 Waverton DR","$603,997","$542,497","$683,476","426","12/09/2022"
"CLOSD","8025 Hartridge DR","$549,950","$549,950","$550,000","15","12/08/2022"
"CLOSD","16318 Crossfell PL","$599,950","$625,000","$575,000","64","12/08/2022"
"CLOSD","18320 Palisades CT","$437,000","$474,110","$437,000","83","12/08/2022"
"CLOSD","16019 Rocky Falls CT","$459,990","$464,990","$474,920","47","12/07/2022"
"CLOSD","15831 Fishers Green DR","$547,420","$547,255","$547,995","80","12/06/2022"
"CLOSD","6940 Leire LN","$364,950","$354,950","$424,028","119","12/06/2022"
"CLOSD","18149 Jones Run TRL","$489,000","$589,000","$489,000","4","12/05/2022"
"CLOSD","16030 Cambian LN","$566,950","$566,950","$843,158","0","12/05/2022"
"CLOSD","9113 Copplestone RD","$627,950","$627,950","$808,634","0","12/05/2022"
"CLOSD","17055 Thornapple CT","$414,990","$419,990","$414,990","25","12/02/2022"
"CLOSD","6420 Sanford Springs CV","$552,800","$552,800","$552,291","2","12/02/2022"
"CLOSD","6530 Hammock Creek DR","$590,775","$532,410","$590,635","0","12/01/2022"
"CLOSD","6636 Stonewolf CT","$949,995","$949,995","$915,000","17","12/01/2022"
"CLOSD","9306 Pentwyn PL","$488,950","$504,950","$488,950","81","11/30/2022"
"CLOSD","18317 Palisades CT","$407,535","$407,535","$424,585","10","11/30/2022"
"CLOSD","4713 Cabretta DR","$535,000","$545,000","$530,000","19","11/30/2022"
"CLOSD","17107 Shoreland DR","$830,000","$830,000","$830,000","0","11/30/2022"
"CLOSD","18125 Timber Banks LN","$868,545","$868,545","$1,033,765","0","11/30/2022"
"CLOSD","18115 Jones Run TRL","$528,895","$513,550","$528,895","0","11/29/2022"
"CLOSD","18103 Jones Run TRL","$499,490","$491,585","$499,490","0","11/29/2022"
"CLOSD","9000 Widthby RD","$549,970","$503,116","$550,115","68","11/29/2022"
"CLOSD","6524 Hammock Creek DR","$618,570","$576,925","$618,570","0","11/28/2022"
"CLOSD","9318 Pentwyn PL","$535,000","$538,950","$535,000","13","11/23/2022"
"CLOSD","18321 Palisades CT","$426,685","$416,685","$436,260","1","11/22/2022"
"CLOSD","9801 Cravensford LOOP","$450,000","$469,900","$441,000","34","11/22/2022"
"CLOSD","6548 Hammock Creek DR","$583,625","$539,700","$583,625","0","11/21/2022"
"CLOSD","6536 Hammock Creek DR","$580,280","$536,760","$580,820","0","11/18/2022"
"CLOSD","6512 Hammock Creek DR","$642,560","$570,510","$642,560","0","11/18/2022"
"CLOSD","6518 Hammock Creek DR","$592,925","$564,375","$592,925","0","11/18/2022"
"CLOSD","16018 Cambian LN","$563,950","$563,950","$843,475","0","11/18/2022"
"CLOSD","8219 Spiral DR","$475,000","$475,000","$482,500","3","11/17/2022"
"CLOSD","16207 Cambian LN","$586,950","$586,950","$621,068","0","11/17/2022"
"CLOSD","9006 Widthby RD","$493,992","$493,992","$499,427","33","11/16/2022"
"CLOSD","9907 Maidstone CT","$492,950","$492,950","$505,769","0","11/16/2022"
"CLOSD","7001 Leire DR","$427,950","$420,950","$472,660","27","11/16/2022"
"CLOSD","9248 Saxsawn LN","$735,567","$735,567","$737,660","3","11/16/2022"
"CLOSD","16008 HALLOWELL RDG","$429,000","$439,950","$429,000","42","11/15/2022"
"CLOSD","7005 Leire DR","$386,950","$386,950","$416,621","0","11/15/2022"
"CLOSD","16413 Aklers CT","$610,000","$610,000","$610,000","5","11/15/2022"
"CLOSD","8319 Amington LN","$514,900","$514,900","$525,000","1","11/14/2022"
"CLOSD","18107 Jones Run TRL","$541,835","$510,310","$541,835","0","11/10/2022"
"CLOSD","7009 Leire DR","$486,275","$418,950","$514,849","8","11/10/2022"
"CLOSD","15313 Spiral PL","$470,000","$510,000","$470,000","24","11/08/2022"
"CLOSD","14507 Hockliffe LOOP","$499,900","$499,900","$499,900","3","11/08/2022"
"CLOSD","18305 Palisades CT","$426,350","$426,350","$463,430","3","11/08/2022"
"CLOSD","16819 Laurel Park DR","$524,500","$524,500","$517,000","3","11/07/2022"
"CLOSD","6925 Leire LN","$385,950","$382,950","$419,588","91","11/04/2022"
"CLOSD","4512 Summer Camp CT","$819,000","$819,000","$810,000","8","11/04/2022"
"CLOSD","18301 Palisades CT","$428,685","$428,685","$458,085","0","11/03/2022"
"CLOSD","16006 Cambian LN","$800,410","$736,890","$801,660","0","11/01/2022"
"CLOSD","4032 Ambergrove AVE","$442,750","$431,950","$442,750","309","10/31/2022"
"CLOSD","6413 Doyles TRL","$549,900","$549,900","$549,900","4","10/31/2022"
"CLOSD","9130 Widthby RD","$524,990","$524,990","$563,420","40","10/31/2022"
"CLOSD","8712 Sanibel CT","$506,050","$502,700","$506,050","71","10/31/2022"
"CLOSD","18031 Timber Banks LN","$882,932","$882,932","$882,932","2","10/31/2022"
"CLOSD","6937 Leire LN","$380,975","$368,950","$409,241","118","10/28/2022"
"CLOSD","6848 Cherry Creek LN","$799,000","$839,000","$799,000","31","10/28/2022"
"CLOSD","12913 Craftsbury MEWS","$481,950","$481,950","$511,297","0","10/28/2022"
"CLOSD","16500 Crossfell DR","$699,000","$699,000","$694,500","21","10/28/2022"
"CLOSD","6706 Grand Haven LN","$774,900","$774,900","$740,000","11","10/28/2022"
"CLOSD","3831 Bellstone DR","$714,295","$714,295","$819,470","3","10/28/2022"
"CLOSD","15901 Fishers Green DR","$457,950","$457,950","$513,592","0","10/27/2022"
"CLOSD","18345 Palisades CT","$424,080","$424,080","$446,475","0","10/27/2022"
"CLOSD","18207 Maple Summit CT","$699,950","$720,465","$695,000","41","10/27/2022"
"CLOSD","18118 Timber Banks LN","$790,805","$790,805","$869,028","2","10/27/2022"
"CLOSD","6945 Leire LN","$419,170","$419,170","$419,340","12","10/26/2022"
"CLOSD","15619 Henningford RD","$472,950","$472,950","$546,230","0","10/25/2022"
"CLOSD","18341 Palisades CT","$420,150","$420,150","$449,610","0","10/25/2022"
"CLOSD","9700 Craftsbury DR","$482,950","$482,950","$586,252","0","10/24/2022"
"CLOSD","18337 Palisades CT","$406,130","$390,650","$406,130","7","10/20/2022"
"CLOSD","12906 Craftsbury MEWS","$468,950","$468,950","$507,852","0","10/20/2022"
"CLOSD","6707 Southwalk HTS","$485,000","$495,000","$479,000","45","10/20/2022"
"CLOSD","11207 Hazelbury CT","$449,950","$449,950","$455,000","7","10/19/2022"
"CLOSD","6542 Hammock Creek DR","$610,420","$563,175","$610,420","0","10/19/2022"
"CLOSD","9118 Cambian PL","$579,950","$579,950","$703,120","0","10/19/2022"
"CLOSD","18333 Palisades CT","$396,650","$396,650","$414,235","0","10/18/2022"
"CLOSD","18352 Palisades CT","$403,750","$403,750","$412,320","0","10/17/2022"
"CLOSD","9918 Maidstone CT","$423,950","$452,950","$473,674","0","10/14/2022"
"CLOSD","7236 Stafford Park DR","$449,000","$449,000","$447,000","6","10/13/2022"
"CLOSD","18329 Palisades CT","$400,980","$400,980","$416,195","0","10/13/2022"
"CLOSD","9143 Widthby RD","$479,990","$497,025","$503,210","28","10/12/2022"
"CLOSD","18325 Palisades CT","$416,685","$416,685","$426,370","9","10/12/2022"
"CLOSD","4642 Lake Summer LOOP","$504,990","$504,990","$779,946","208","10/12/2022"
"CLOSD","17318 Otter DR","$667,210","$667,210","$775,215","3","10/12/2022"
"CLOSD","16730 Cabretta CT","$439,950","$439,950","$531,852","0","10/12/2022"
"CLOSD","15913 Fishers Green DR","$466,950","$466,950","$593,533","0","10/11/2022"
"CLOSD","8472 Highmarker CT","$640,000","$640,000","$665,000","5","10/11/2022"
"CLOSD","6106 Water Violet TER","$509,950","$509,950","$509,950","19","10/07/2022"
"CLOSD","18136 Timber Banks LN","$930,000","$930,000","$915,000","35","10/07/2022"
"CLOSD","9936 Maidstone CT","$474,950","$474,950","$538,905","0","10/07/2022"
"CLOSD","16318 Cambian LN","$670,570","$645,485","$670,570","0","10/04/2022"
