"Status","Address","List Price","Original List Price","Sales Price","Days On Market","Sales Date","New/Resale"
"CLOSD","850 Elmslie LN","$1,150,000","$1,150,000","$1,075,000","5","08/02/2021","Resale (occupied at least once)"
"CLOSD","4804 Bromley LN","$829,000","$845,000","$829,000","31","12/17/2021","Resale (occupied at least once)"
"CLOSD","3913 Welby DR","$825,000","$865,000","$800,000","83","08/10/2021","Resale (occupied at least once)"
"CLOSD","16 Capital Trail ROW","$725,000","$725,000","$727,500","8","10/03/2022","Resale (occupied at least once)"
"CLOSD","12206 Rosemead CT","$675,000","$699,000","$647,000","71","11/04/2022","Resale (occupied at least once)"
"CLOSD","3503 E Clay ST","$639,500","$639,500","$645,000","5","05/09/2023","Resale (occupied at least once)"
"CLOSD","11112 BRYANS VIEW CT","$675,000","$675,000","$620,000","18","10/03/2022","Resale (occupied at least once)"
"CLOSD","3 Shiplock ROW","$619,900","$629,900","$610,000","94","10/18/2022","Resale (occupied at least once)"
"CLOSD","5 Shiplock ROW","$609,900","$619,900","$608,500","75","10/06/2022","Resale (occupied at least once)"
"CLOSD","1209 Old Francis RD","$575,000","$586,467","$575,000","46","09/09/2022","Resale (occupied at least once)"
"CLOSD","12109 Waterford Way PL","$475,000","$475,000","$560,000","5","06/24/2022","Resale (occupied at least once)"
"CLOSD","5301 Old Main ST Unit#B","$570,000","$599,000","$555,000","52","10/21/2022","Resale (occupied at least once)"
"CLOSD","605 N 31st ST","$525,000","$525,000","$550,000","6","04/19/2023","Resale (occupied at least once)"
"CLOSD","4431 Otterdale RD","$550,000","$575,000","$545,000","24","11/04/2021","Resale (occupied at least once)"
"CLOSD","202 Old Ohio ST Unit#B","$539,900","$549,900","$530,000","69","05/24/2023","Resale (occupied at least once)"
"CLOSD","4 Flatwater ROW Unit#B","$520,000","$474,000","$521,600","25","05/11/2022","Resale (occupied at least once)"
"CLOSD","4800 Saddleridge CT","$475,000","$475,000","$520,000","5","08/27/2021","Resale (occupied at least once)"
"CLOSD","6831 N Hairpin DR","$499,950","$499,950","$499,950","22","11/03/2022","Resale (occupied at least once)"
"CLOSD","2512 Monument AVE Unit#U301","$499,000","$525,000","$495,000","20","06/30/2022","Resale (occupied at least once)"
"CLOSD","8516 Ashfield Hills TER","$498,500","$498,500","$488,000","23","09/23/2021","Resale (occupied at least once)"
"CLOSD","9313 Sir Britton DR","$479,900","$479,900","$484,000","11","09/30/2021","Resale (occupied at least once)"
"CLOSD","14005 Fortunes Ridge CT","$465,000","$465,000","$480,000","24","10/29/2021","Resale (occupied at least once)"
"CLOSD","10412 Ganymede CT","$459,900","$459,900","$475,000","5","07/15/2022","Resale (occupied at least once)"
"CLOSD","516 Enon Church RD","$469,950","$469,950","$475,000","6","12/20/2021","Resale (occupied at least once)"
"CLOSD","3700 Town Hall DR","$470,000","$470,000","$470,000","11","01/21/2022","Resale (occupied at least once)"
"CLOSD","17419 Trevino PKY","$469,900","$469,900","$463,000","9","07/15/2022","Resale (occupied at least once)"
"CLOSD","10830 Tutelo CT","$475,000","$475,000","$455,000","6","10/21/2022","Resale (occupied at least once)"
"CLOSD","14490 Warwick Hill RD","$459,900","$465,000","$455,000","41","03/11/2022","Resale (occupied at least once)"
"CLOSD","506 N 33rd ST","$449,950","$449,950","$450,000","21","10/22/2021","Resale (occupied at least once)"
"CLOSD","15212 Blackrail RD","$425,000","$425,000","$445,000","5","06/24/2022","Resale (occupied at least once)"
"CLOSD","5113 Sir Sagamore DR","$425,000","$425,000","$435,000","6","09/09/2022","Resale (occupied at least once)"
"CLOSD","4115 Summers Hill LN","$480,000","$520,000","$430,000","19","11/29/2021","Resale (occupied at least once)"
"CLOSD","12912 Silver Crest RD","$419,000","$419,000","$424,000","10","04/08/2022","Resale (occupied at least once)"
"CLOSD","4851 Turner RD","$389,900","$389,900","$415,000","1","09/17/2021","Resale (occupied at least once)"
"CLOSD","5601 Drayton Landing CT","$415,000","$415,000","$415,000","5","10/03/2022","Resale (occupied at least once)"
"CLOSD","2906 Windsorview DR","$425,000","$425,000","$410,000","14","11/24/2021","Resale (occupied at least once)"
"CLOSD","619 Green Garden CIR","$410,000","$425,000","$405,000","20","05/17/2023","Resale (occupied at least once)"
"CLOSD","8137 Hillcreek DR","$389,950","$399,950","$396,950","22","11/12/2021","Resale (occupied at least once)"
"CLOSD","6107 Barnwood DR","$399,950","$369,950","$395,000","10","11/19/2021","Resale (occupied at least once)"
"CLOSD","13206 Silverdust LN","$385,000","$385,000","$385,000","5","12/13/2021","Resale (occupied at least once)"
"CLOSD","816 N 24th ST","$375,000","$375,000","$372,000","6","10/19/2022","Resale (occupied at least once)"
"CLOSD","6009 Oak Landing DR","$349,900","$349,900","$370,000","4","07/21/2022","Resale (occupied at least once)"
"CLOSD","13118 Stockleigh DR","$365,000","$365,000","$365,000","8","01/26/2022","Resale (occupied at least once)"
"CLOSD","12837 Chester Grove DR","$350,000","$350,000","$365,000","5","05/17/2022","Resale (occupied at least once)"
"CLOSD","1305 Wentbridge RD","$369,000","$439,900","$360,000","78","06/22/2023","Resale (occupied at least once)"
"CLOSD","2009 Lindsey Gabriel DR","$349,900","$349,900","$355,000","2","10/22/2021","Resale (occupied at least once)"
"CLOSD","8304 Robert Bruce DR","$350,000","$319,950","$350,000","5","03/28/2023","Resale (occupied at least once)"
"CLOSD","6419 Little Creek WAY","$349,950","$349,950","$345,500","15","12/15/2021","Resale (occupied at least once)"
"CLOSD","3737 Cannington DR","$350,000","$350,000","$339,000","3","07/14/2021","Resale (occupied at least once)"
"CLOSD","13812 Exhall DR","$315,000","$315,000","$335,000","10","07/09/2021","Resale (occupied at least once)"
"CLOSD","3730 Pheasant Run DR","$305,000","$305,000","$325,000","4","06/07/2022","Resale (occupied at least once)"
"CLOSD","421 Queen Emily PL","$300,000","$300,000","$324,000","4","02/17/2022","Resale (occupied at least once)"
"CLOSD","12754 Summerhouse LN","$290,000","$290,000","$320,000","7","07/30/2021","Resale (occupied at least once)"
"CLOSD","12620 Crooked Creek DR","$309,900","$309,900","$320,000","7","07/29/2022","Resale (occupied at least once)"
"CLOSD","8811 Leisure LN","$269,500","$269,500","$315,000","6","07/14/2022","Resale (occupied at least once)"
"CLOSD","5920 Almond Tree TER","$295,000","$275,000","$315,000","7","05/23/2022","Resale (occupied at least once)"
"CLOSD","3526 Missouri AVE","$299,950","$299,950","$310,000","5","10/18/2021","Resale (occupied at least once)"
"CLOSD","5412 Cranemore RD","$290,000","$290,000","$305,000","8","04/07/2023","Resale (occupied at least once)"
"CLOSD","7921 Southford TER","$279,999","$279,999","$305,000","6","07/30/2021","Resale (occupied at least once)"
"CLOSD","5234 Appleleaf CT","$299,950","$299,950","$305,000","5","05/20/2022","Resale (occupied at least once)"
"CLOSD","15100 Winding Ash DR","$299,999","$299,999","$300,000","4","09/15/2021","Resale (occupied at least once)"
"CLOSD","4209 Country Spring LN","$295,000","$295,000","$300,000","7","12/28/2021","Resale (occupied at least once)"
"CLOSD","34 Taft ST","$299,900","$299,900","$299,000","7","04/26/2023","Resale (occupied at least once)"
