


Status,List Price,Original List Price,Sales Price,Days On Market
CLOSD,"$1,025,000.00","$1,025,000.00","$1,105,000.00",4
ACT,"$1,175,000.00","$1,175,000.00",,3
CLOSD,"$769,000.00","$769,000.00","$885,000.00",12
CLOSD,"$700,000.00","$700,000.00","$706,000.00",27
PEND,"$725,000.00","$775,000.00",,29
CLOSD,"$799,000.00","$799,000.00","$815,000.00",2
ACT,"$723,900.00","$741,997.00",,59
CLOSD,"$739,000.00","$739,000.00","$760,000.00",3
ACT,"$849,995.00","$849,995.00",,39
ACT,"$1,299,900.00","$1,350,000.00",,37
CLOSD,"$1,500,000.00","$1,500,000.00","$1,500,000.00",4
ACT,"$724,950.00","$724,950.00",,1
CLOSD,"$1,450,000.00","$1,450,000.00","$1,500,000.00",4
PEND,"$765,000.00","$765,000.00",,4
CLOSD,"$925,000.00","$925,000.00","$856,000.00",42
CLOSD,"$1,400,000.00","$1,400,000.00","$1,400,000.00",4
PEND,"$850,000.00","$899,000.00",,26
ACT,"$729,000.00","$729,000.00",,4
PEND,"$1,350,000.00","$1,350,000.00",,6
PEND,"$849,000.00","$849,000.00",,5
CLOSD,"$1,100,000.00","$1,100,000.00","$1,100,000.00",6
ACT,"$875,000.00","$875,000.00",,2
PEND,"$850,000.00","$850,000.00",,9
CLOSD,"$659,000.00","$659,000.00","$715,100.00",7
ACT,"$899,000.00","$930,000.00",,36
ACT,"$719,000.00","$719,000.00",,9
PEND,"$825,000.00","$825,000.00",,8
PEND,"$724,950.00","$724,950.00",,5
CLOSD,"$749,950.00","$749,950.00","$761,000.00",4
CLOSD,"$682,950.00","$682,950.00","$711,000.00",6
ACT,"$729,950.00","$749,950.00",,31
CLOSD,"$674,950.00","$674,950.00","$718,650.00",6
CLOSD,"$775,000.00","$775,000.00","$850,000.00",7
PEND,"$799,990.00","$799,990.00",,6
ACT,"$799,950.00","$799,950.00",,35
PEND,"$1,099,000.00","$1,099,000.00",,23
ACT,"$749,000.00","$749,000.00",,0
PEND,"$725,000.00","$725,000.00",,4
ACT,"$1,500,000.00","$1,500,000.00",,35
CLOSD,"$899,500.00","$922,000.00","$890,000.00",26
ACT,"$799,900.00","$849,900.00",,41
PEND,"$725,000.00","$725,000.00",,23
ACT,"$973,000.00","$973,000.00",,4
CLOSD,"$825,000.00","$825,000.00","$825,000.00",0
CLOSD,"$985,000.00","$985,000.00","$1,005,000.00",11
CLOSD,"$950,000.00","$950,000.00","$965,000.00",8
ACT,"$795,000.00","$795,000.00",,11
PEND,"$1,075,000.00","$1,120,000.00",,58
CLOSD,"$1,075,000.00","$1,150,000.00","$1,075,000.00",134
CLOSD,"$989,000.00","$989,000.00","$1,000,000.00",7
ACT,"$875,000.00","$875,000.00",,8
CLOSD,"$890,000.00","$890,000.00","$855,000.00",16
CLOSD,"$699,900.00","$699,900.00","$715,000.00",3
CLOSD,"$1,450,000.00","$1,450,000.00","$1,390,000.00",21
CLOSD,"$700,000.00","$700,000.00","$755,000.00",3
ACT,"$850,000.00","$850,000.00",,7
CLOSD,"$1,125,000.00","$1,125,000.00","$1,115,000.00",13
ACT,"$725,000.00","$725,000.00",,2
PEND,"$725,000.00","$725,000.00",,3
CLOSD,"$764,900.00","$764,900.00","$825,000.00",2
CLOSD,"$799,950.00","$799,950.00","$800,000.00",9
ACT,"$795,000.00","$795,000.00",,212
PEND,"$799,950.00","$799,950.00",,8
PEND,"$1,249,900.00","$1,299,900.00",,40
CLOSD,"$950,000.00","$950,000.00","$1,060,000.00",4
EXP,"$1,000,000.00","$1,000,000.00",,366
CLOSD,"$799,500.00","$799,500.00","$822,500.00",4
ACT,"$800,000.00","$800,000.00",,69
CLOSD,"$1,150,000.00","$1,150,000.00","$1,150,000.00",7
CLOSD,"$799,000.00","$799,000.00","$818,000.00",7
CLOSD,"$859,000.00","$859,000.00","$855,000.00",9
PEND,"$929,000.00","$929,000.00",,16
PEND,"$749,000.00","$749,000.00",,6
PEND,"$869,900.00","$869,900.00",,6
CLOSD,"$719,000.00","$719,000.00","$719,000.00",9
CLOSD,"$999,950.00","$999,950.00","$1,222,200.00",7
EXP,"$749,999.00","$749,999.00",,122
CLOSD,"$995,000.00","$995,000.00","$995,000.00",7
PEND,"$995,000.00","$995,000.00",,2
PEND,"$960,000.00","$960,000.00",,3
PEND,"$1,089,000.00","$1,089,000.00",,3
ACT,"$725,000.00","$725,000.00",,2
CLOSD,"$675,000.00","$675,000.00","$725,000.00",3
CLOSD,"$750,000.00","$750,000.00","$851,000.00",5
ACT,"$925,000.00","$1,050,000.00",,100
EXP,"$1,150,000.00","$1,150,000.00",,1
ACT,"$1,099,000.00","$1,150,000.00",,27
PEND,"$745,000.00","$745,000.00",,6
CLOSD,"$684,500.00","$684,500.00","$785,000.00",3
CLOSD,"$875,000.00","$875,000.00","$900,000.00",4
PEND,"$740,000.00","$740,000.00",,5
PEND,"$795,000.00","$795,000.00",,3
CLOSD,"$650,000.00","$650,000.00","$820,000.00",5
PEND,"$770,000.00","$770,000.00",,2
PEND,"$765,000.00","$765,000.00",,0
PEND,"$829,000.00","$839,000.00",,50
ACT,"$710,400.00","$710,400.00",,7
CLOSD,"$600,000.00","$600,000.00","$719,500.00",4
CLOSD,"$849,950.00","$849,950.00","$820,000.00",5
CLOSD,"$1,100,000.00","$1,100,000.00","$1,080,000.00",17
CLOSD,"$669,500.00","$669,500.00","$771,500.00",3
PEND,"$789,000.00","$789,000.00",,17
CLOSD,"$650,000.00","$650,000.00","$700,000.00",4
CLOSD,"$689,000.00","$689,000.00","$750,000.00",7
CLOSD,"$1,350,000.00","$1,350,000.00","$1,375,000.00",12
CLOSD,"$769,000.00","$769,000.00","$840,000.00",6
EXP,"$750,000.00","$750,000.00",,1
PEND,"$1,000,000.00","$1,000,000.00",,35
PEND,"$1,495,000.00","$1,495,000.00",,19
CLOSD,"$899,950.00","$949,500.00","$885,000.00",30
PEND,"$975,000.00","$975,000.00",,18
ACT,"$1,150,000.00","$1,250,000.00",,38
CLOSD,"$949,000.00","$949,000.00","$995,000.00",8
PEND,"$949,000.00","$949,000.00",,9
ACT,"$925,000.00","$925,000.00",,8
PEND,"$749,000.00","$785,000.00",,90
CLOSD,"$900,000.00","$900,000.00","$935,000.00",5
CLOSD,"$750,000.00","$750,000.00","$900,000.00",6
CLOSD,"$625,000.00","$625,000.00","$725,000.00",4
PEND,"$1,150,000.00","$1,250,000.00",,34
CLOSD,"$625,000.00","$625,000.00","$725,000.00",4
PEND,"$1,050,000.00","$1,070,000.00",,35
CLOSD,"$1,075,000.00","$1,075,000.00","$1,155,000.00",5
PEND,"$1,050,000.00","$1,050,000.00",,4
PEND,"$935,000.00","$935,000.00",,10
CLOSD,"$650,000.00","$650,000.00","$715,000.00",6
PEND,"$750,000.00","$750,000.00",,1
CLOSD,"$950,000.00","$950,000.00","$960,000.00",5
ACT,"$789,000.00","$789,000.00",,3
PEND,"$785,000.00","$785,000.00",,4
CLOSD,"$799,000.00","$799,000.00","$830,000.00",4
PEND,"$949,000.00","$949,000.00",,8
CLOSD,"$1,270,000.00","$1,270,000.00","$1,370,000.00",3
CLOSD,"$999,950.00","$999,950.00","$1,000,000.00",13
CLOSD,"$799,000.00","$815,000.00","$788,000.00",25
CLOSD,"$790,000.00","$790,000.00","$840,000.00",2
PEND,"$825,000.00","$825,000.00",,7
PEND,"$895,000.00","$895,000.00",,6
CLOSD,"$725,000.00","$725,000.00","$765,000.00",3
CLOSD,"$785,000.00","$825,000.00","$780,000.00",61
PEND,"$1,200,000.00","$1,200,000.00",,25
CLOSD,"$735,000.00","$735,000.00","$725,000.00",11
ACT,"$1,100,000.00","$1,100,000.00",,18
ACT,"$1,050,000.00","$1,050,000.00",,0
CLOSD,"$724,900.00","$724,900.00","$785,000.00",3
PEND,"$1,215,000.00","$1,215,000.00",,22
PEND,"$775,000.00","$775,000.00",,9
PEND,"$799,000.00","$799,000.00",,5
ACT,"$989,000.00","$1,025,000.00",,49
CLOSD,"$795,000.00","$795,000.00","$798,000.00",12
CLOSD,"$769,000.00","$769,000.00","$800,000.00",4
PEND,"$850,000.00","$850,000.00",,6
PEND,"$1,200,000.00","$1,200,000.00",,1
PEND,"$1,095,000.00","$1,095,000.00",,6
