Status,List Price,Original List Price,Sales Price,Days On Market
ACT,"$749,000.00","$749,000.00",,34
ACT,"$888,950.00","$888,950.00",,88
ACT,"$849,950.00","$849,950.00",,4
CLOSD,"$750,000.00","$750,000.00","$761,300.00",7
CLOSD,"$899,950.00","$899,950.00","$1,037,450.00",4
CLOSD,"$795,000.00","$795,000.00","$798,000.00",12
CLOSD,"$989,000.00","$989,000.00","$996,000.00",5
CLOSD,"$900,000.00","$900,000.00","$1,060,000.00",5
CLOSD,"$669,500.00","$669,500.00","$771,500.00",3
CLOSD,"$1,300,000.00","$1,300,000.00","$1,450,000.00",11
ACT,"$775,000.00","$775,000.00",,3
PEND,"$1,149,950.00","$1,149,950.00",,9
CLOSD,"$749,900.00","$749,900.00","$725,000.00",14
CLOSD,"$999,000.00","$1,015,000.00","$965,000.00",20
CLOSD,"$850,000.00","$850,000.00","$850,000.00",4
PEND,"$749,000.00","$749,000.00",,6
ACT,"$850,000.00","$850,000.00",,3
CLOSD,"$764,900.00","$764,900.00","$923,000.00",4
PEND,"$925,000.00","$925,000.00",,10
CLOSD,"$849,950.00","$849,950.00","$925,000.00",8
ACT,"$1,500,000.00","$1,500,000.00",,37
ACT,"$797,000.00",$797.00,,32
ACT,"$999,950.00","$999,950.00",,10
ACT,"$1,295,000.00","$1,295,000.00",,8
ACT,"$819,950.00","$819,950.00",,65
PEND,"$1,075,000.00","$1,120,000.00",,58
PEND,"$1,700,000.00","$1,700,000.00",,72
ACT,"$944,950.00","$944,950.00",,4
ACT,"$799,950.00","$799,950.00",,37
PEND,"$765,000.00","$765,000.00",,0
PEND,"$1,850,000.00","$1,850,000.00",,12
ACT,"$850,000.00","$850,000.00",,4
PEND,"$1,975,000.00","$1,975,000.00",,9
ACT,"$899,000.00","$899,000.00",,11
ACT,"$973,000.00","$973,000.00",,6
CLOSD,"$680,000.00","$680,000.00","$705,000.00",4
ACT,"$1,495,000.00","$1,495,000.00",,67
PEND,"$825,000.00","$825,000.00",,8
CLOSD,"$1,350,000.00","$1,350,000.00","$1,375,000.00",12
PEND,"$925,000.00","$1,050,000.00",,99
ACT,"$850,000.00","$850,000.00",,4
CLOSD,"$829,900.00","$859,900.00","$829,848.00",302
CLOSD,"$1,699,000.00","$1,699,000.00","$1,550,000.00",14
PEND,"$789,000.00","$789,000.00",,17
PEND,"$799,950.00","$799,950.00",,4
